iter	Passed	Remaining
0	41	4145
1	78	3857
2	115	3735
3	153	3687
4	191	3638
5	233	3660
6	272	3623
7	310	3569
8	348	3520
9	386	3476
10	424	3430
11	467	3427
12	505	3380
13	542	3332
14	579	3282
15	616	3235
16	654	3193
17	693	3158
18	732	3123
19	770	3080
20	807	3037
21	844	2994
22	881	2951
23	924	2928
24	967	2901
25	1005	2862
26	1044	2823
27	1083	2785
28	1122	2748
29	1161	2711
30	1203	2678
31	1241	2637
32	1279	2596
33	1316	2555
34	1354	2516
35	1396	2483
36	1439	2451
37	1481	2417
38	1520	2378
39	1559	2338
40	1595	2296
41	1639	2264
42	1678	2224
43	1716	2185
44	1754	2144
45	1792	2104
46	1829	2063
47	1867	2023
48	1910	1988
49	1949	1949
50	1987	1909
51	2025	1869
52	2063	1829
53	2107	1795
54	2145	1755
55	2181	1714
56	2221	1676
57	2264	1640
58	2303	1600
59	2345	1563
60	2385	1525
61	2422	1484
62	2460	1445
63	2498	1405
64	2537	1366
65	2579	1328
66	2620	1290
67	2658	1251
68	2697	1211
69	2741	1175
70	2788	1139
71	2839	1104
72	2894	1070
73	2948	1035
74	3000	1000
75	3056	965
76	3107	928
77	3158	890
78	3211	853
79	3276	819
80	3333	781
81	3387	743
82	3444	705
83	3497	666
84	3557	627
85	3610	587
86	3663	547
87	3722	507
88	3784	467
89	3839	426
90	3891	384
91	3944	343
92	4004	301
93	4055	258
94	4097	215
95	4137	172
96	4184	129
97	4231	86
98	4272	43
99	4311	0
